retrieved_at,source_batch,source_name,source_url,all_source_urls,all_source_names,name,role_title,institution,department_or_group,country,summary_text,domain_tags,homepage_url,orcid_url,scholar_url,openalex_url,semantic_scholar_url,h_index,citation_count,metric_source,honors,target_venue_exact,target_venue_family,target_publication_evidence,relevance_status,relevance_reason,relevance_evidence,notes,evidence_items,evidence_summary,birth_year,age,age_as_of,age_evidence
2026-06-19T00:00:00+00:00,openalex_spatial_single_cell_demo_20260619,OpenAlex topic T11289: Single-cell and spatial transcriptomics,https://openalex.org/A5058180202,https://openalex.org/A5058180202; https://openalex.org/W3164692211; https://doi.org/10.1016/j.cell.2021.04.048,OpenAlex author profile: Rahul Satija; OpenAlex work: Integrated analysis of multimodal single-cell data; DOI landing page: Integrated analysis of multimodal single-cell data,Rahul Satija,,New York Genome Center,,United States,"OpenAlex links this researcher to ""Single-cell and spatial transcriptomics"". Demo candidate selected as last-named author on ""Integrated analysis of multimodal single-cell data"" (Cell, 2021; 15986 OpenAlex citations).",single-cell biology; computational biology; spatial transcriptomics; genomics,,https://orcid.org/0000-0002-1479-664X,https://scholar.google.com/scholar?q=%22Rahul+Satija%22+%22New+York+Genome+Center%22+single+cell+spatial+transcriptomics,https://openalex.org/A5058180202,,45,70394,"OpenAlex author profile retrieved 2026-06-19; Scholar URL is a search link, not a verified author profile.",,,,,include,openalex_topic_last_author,"Selected from OpenAlex topic ""Single-cell and spatial transcriptomics"" as a last-named author on ""Integrated analysis of multimodal single-cell data"" (Cell, 2021; 15986 OpenAlex citations). Evidence filters are concrete source/topic labels: Cell, OpenAlex topic: Single-cell and spatial transcriptomics.","Real demo row generated from OpenAlex on 2026-06-19. Institution is the source-stated authorship institution for the selected work, not a verified current role. Homepage, age, honors, and hiring status were not manually verified; use the source links and Scholar search before outreach.",Cell; OpenAlex topic: Single-cell and spatial transcriptomics,"Selected from OpenAlex topic ""Single-cell and spatial transcriptomics"" as a last-named author on ""Integrated analysis of multimodal single-cell data"" (Cell, 2021; 15986 OpenAlex citations). Evidence filters are concrete source/topic labels: Cell, OpenAlex topic: Single-cell and spatial transcriptomics.",,,,
2026-06-19T00:00:00+00:00,openalex_spatial_single_cell_demo_20260619,OpenAlex topic T11289: Single-cell and spatial transcriptomics,https://openalex.org/A5044336556,https://openalex.org/A5044336556; https://openalex.org/W4378212544; https://doi.org/10.1038/s41587-023-01767-y,"OpenAlex author profile: Carlos Fernandez‐Granda; OpenAlex work: Dictionary learning for integrative, multimodal and scalable single-cell analysis; DOI landing page: Dictionary learning for integrative, multimodal and scalable single-cell analysis",Carlos Fernandez‐Granda,,Courant Institute of Mathematical Sciences,,United States,"OpenAlex links this researcher to ""Single-cell and spatial transcriptomics"". Demo candidate selected as last-named author on ""Dictionary learning for integrative, multimodal and scalable single-cell analysis"" (Nature Biotechnology, 2023; 4774 OpenAlex citations).",single-cell biology; computational biology,,https://orcid.org/0000-0001-7039-8606,https://scholar.google.com/scholar?q=%22Carlos+Fernandez%E2%80%90Granda%22+%22Courant+Institute+of+Mathematical+Sciences%22+single+cell+spatial+transcriptomics,https://openalex.org/A5044336556,,20,7041,"OpenAlex author profile retrieved 2026-06-19; Scholar URL is a search link, not a verified author profile.",,,,,include,openalex_topic_last_author,"Selected from OpenAlex topic ""Single-cell and spatial transcriptomics"" as a last-named author on ""Dictionary learning for integrative, multimodal and scalable single-cell analysis"" (Nature Biotechnology, 2023; 4774 OpenAlex citations). Evidence filters are concrete source/topic labels: Nature Biotechnology, OpenAlex topic: Single-cell and spatial transcriptomics.","Real demo row generated from OpenAlex on 2026-06-19. Institution is the source-stated authorship institution for the selected work, not a verified current role. Homepage, age, honors, and hiring status were not manually verified; use the source links and Scholar search before outreach.",Nature Biotechnology; OpenAlex topic: Single-cell and spatial transcriptomics,"Selected from OpenAlex topic ""Single-cell and spatial transcriptomics"" as a last-named author on ""Dictionary learning for integrative, multimodal and scalable single-cell analysis"" (Nature Biotechnology, 2023; 4774 OpenAlex citations). Evidence filters are concrete source/topic labels: Nature Biotechnology, OpenAlex topic: Single-cell and spatial transcriptomics.",,,,
2026-06-19T00:00:00+00:00,openalex_spatial_single_cell_demo_20260619,OpenAlex topic T11289: Single-cell and spatial transcriptomics,https://openalex.org/A5054483679,https://openalex.org/A5054483679; https://openalex.org/W3210860076; https://doi.org/10.1038/s41592-021-01282-5,OpenAlex author profile: Caleb A. Lareau; OpenAlex work: Single-cell chromatin state analysis with Signac; DOI landing page: Single-cell chromatin state analysis with Signac,Caleb A. Lareau,,Stanford University,,United States,"OpenAlex links this researcher to ""Single-cell and spatial transcriptomics"". Demo candidate selected as last-named author on ""Single-cell chromatin state analysis with Signac"" (Nature Methods, 2021; 1838 OpenAlex citations).",single-cell biology; single-cell multiomics; computational biology; genomics; biomedical atlas,,https://orcid.org/0000-0003-4179-4807,https://scholar.google.com/scholar?q=%22Caleb+A.+Lareau%22+%22Stanford+University%22+single+cell+spatial+transcriptomics,https://openalex.org/A5054483679,,60,20366,"OpenAlex author profile retrieved 2026-06-19; Scholar URL is a search link, not a verified author profile.",,,,,include,openalex_topic_last_author,"Selected from OpenAlex topic ""Single-cell and spatial transcriptomics"" as a last-named author on ""Single-cell chromatin state analysis with Signac"" (Nature Methods, 2021; 1838 OpenAlex citations). Evidence filters are concrete source/topic labels: Nature Methods, OpenAlex topic: Single-cell and spatial transcriptomics, single-cell multiomics.","Real demo row generated from OpenAlex on 2026-06-19. Institution is the source-stated authorship institution for the selected work, not a verified current role. Homepage, age, honors, and hiring status were not manually verified; use the source links and Scholar search before outreach.",Nature Methods; OpenAlex topic: Single-cell and spatial transcriptomics; single-cell multiomics,"Selected from OpenAlex topic ""Single-cell and spatial transcriptomics"" as a last-named author on ""Single-cell chromatin state analysis with Signac"" (Nature Methods, 2021; 1838 OpenAlex citations). Evidence filters are concrete source/topic labels: Nature Methods, OpenAlex topic: Single-cell and spatial transcriptomics, single-cell multiomics.",,,,
2026-06-19T00:00:00+00:00,openalex_spatial_single_cell_demo_20260619,OpenAlex topic T11289: Single-cell and spatial transcriptomics,https://openalex.org/A5029528576,https://openalex.org/A5029528576; https://openalex.org/W3184729641; https://doi.org/10.1126/sciadv.abh2169,OpenAlex author profile: Cecilia Lindskog; OpenAlex work: A single–cell type transcriptomics map of human tissues; DOI landing page: A single–cell type transcriptomics map of human tissues,Cecilia Lindskog,,Uppsala University,,Sweden,"OpenAlex links this researcher to ""Single-cell and spatial transcriptomics"". Demo candidate selected as last-named author on ""A single–cell type transcriptomics map of human tissues"" (Science Advances, 2021; 1818 OpenAlex citations).",spatial transcriptomics; single-cell biology; biomedical atlas; genomics,,https://orcid.org/0000-0001-5611-1015,https://scholar.google.com/scholar?q=%22Cecilia+Lindskog%22+%22Uppsala+University%22+single+cell+spatial+transcriptomics,https://openalex.org/A5029528576,,46,40627,"OpenAlex author profile retrieved 2026-06-19; Scholar URL is a search link, not a verified author profile.",,,,,include,openalex_topic_last_author,"Selected from OpenAlex topic ""Single-cell and spatial transcriptomics"" as a last-named author on ""A single–cell type transcriptomics map of human tissues"" (Science Advances, 2021; 1818 OpenAlex citations). Evidence filters are concrete source/topic labels: Science Advances, OpenAlex topic: Single-cell and spatial transcriptomics.","Real demo row generated from OpenAlex on 2026-06-19. Institution is the source-stated authorship institution for the selected work, not a verified current role. Homepage, age, honors, and hiring status were not manually verified; use the source links and Scholar search before outreach.",Science Advances; OpenAlex topic: Single-cell and spatial transcriptomics,"Selected from OpenAlex topic ""Single-cell and spatial transcriptomics"" as a last-named author on ""A single–cell type transcriptomics map of human tissues"" (Science Advances, 2021; 1818 OpenAlex citations). Evidence filters are concrete source/topic labels: Science Advances, OpenAlex topic: Single-cell and spatial transcriptomics.",,,,
2026-06-19T00:00:00+00:00,openalex_spatial_single_cell_demo_20260619,OpenAlex topic T11289: Single-cell and spatial transcriptomics,https://openalex.org/A5038076681,https://openalex.org/A5038076681; https://openalex.org/W3198511950; https://doi.org/10.1038/s41588-021-00911-1,OpenAlex author profile: Alexander Swarbrick; OpenAlex work: A single-cell and spatially resolved atlas of human breast cancers; DOI landing page: A single-cell and spatially resolved atlas of human breast cancers,Alexander Swarbrick,,Garvan Institute of Medical Research,,Australia,"OpenAlex links this researcher to ""Single-cell and spatial transcriptomics"". Demo candidate selected as last-named author on ""A single-cell and spatially resolved atlas of human breast cancers"" (Nature Genetics, 2021; 1773 OpenAlex citations).",spatial transcriptomics; single-cell biology; cell atlas; biomedical atlas; genomics,,https://orcid.org/0000-0002-3051-5676,https://scholar.google.com/scholar?q=%22Alexander+Swarbrick%22+%22Garvan+Institute+of+Medical+Research%22+single+cell+spatial+transcriptomics,https://openalex.org/A5038076681,,57,11820,"OpenAlex author profile retrieved 2026-06-19; Scholar URL is a search link, not a verified author profile.",,,,,include,openalex_topic_last_author,"Selected from OpenAlex topic ""Single-cell and spatial transcriptomics"" as a last-named author on ""A single-cell and spatially resolved atlas of human breast cancers"" (Nature Genetics, 2021; 1773 OpenAlex citations). Evidence filters are concrete source/topic labels: Nature Genetics, OpenAlex topic: Single-cell and spatial transcriptomics, spatial transcriptomics.","Real demo row generated from OpenAlex on 2026-06-19. Institution is the source-stated authorship institution for the selected work, not a verified current role. Homepage, age, honors, and hiring status were not manually verified; use the source links and Scholar search before outreach.",Nature Genetics; OpenAlex topic: Single-cell and spatial transcriptomics; spatial transcriptomics,"Selected from OpenAlex topic ""Single-cell and spatial transcriptomics"" as a last-named author on ""A single-cell and spatially resolved atlas of human breast cancers"" (Nature Genetics, 2021; 1773 OpenAlex citations). Evidence filters are concrete source/topic labels: Nature Genetics, OpenAlex topic: Single-cell and spatial transcriptomics, spatial transcriptomics.",,,,
2026-06-19T00:00:00+00:00,openalex_spatial_single_cell_demo_20260619,OpenAlex topic T11289: Single-cell and spatial transcriptomics,https://openalex.org/A5100370590,https://openalex.org/A5100370590; https://openalex.org/W4229033508; https://doi.org/10.1016/j.cell.2022.04.003,OpenAlex author profile: Jian Wang; OpenAlex work: Spatiotemporal transcriptomic atlas of mouse organogenesis using DNA nanoball-patterned arrays; DOI landing page: Spatiotemporal transcriptomic atlas of mouse organogenesis using DNA nanoball-patterned arrays,Jian Wang,,BGI Group (China),,China,"OpenAlex links this researcher to ""Single-cell and spatial transcriptomics"". Demo candidate selected as last-named author on ""Spatiotemporal transcriptomic atlas of mouse organogenesis using DNA nanoball-patterned arrays"" (Cell, 2022; 1690 OpenAlex citations).",cell atlas; genomics; spatial transcriptomics; single-cell biology,,https://orcid.org/0000-0003-4949-4753,https://scholar.google.com/scholar?q=%22Jian+Wang%22+%22BGI+Group+%28China%29%22+single+cell+spatial+transcriptomics,https://openalex.org/A5100370590,,77,31930,"OpenAlex author profile retrieved 2026-06-19; Scholar URL is a search link, not a verified author profile.",,,,,include,openalex_topic_last_author,"Selected from OpenAlex topic ""Single-cell and spatial transcriptomics"" as a last-named author on ""Spatiotemporal transcriptomic atlas of mouse organogenesis using DNA nanoball-patterned arrays"" (Cell, 2022; 1690 OpenAlex citations). Evidence filters are concrete source/topic labels: Cell, OpenAlex topic: Single-cell and spatial transcriptomics, cell atlas.","Real demo row generated from OpenAlex on 2026-06-19. Institution is the source-stated authorship institution for the selected work, not a verified current role. Homepage, age, honors, and hiring status were not manually verified; use the source links and Scholar search before outreach.",Cell; OpenAlex topic: Single-cell and spatial transcriptomics; cell atlas,"Selected from OpenAlex topic ""Single-cell and spatial transcriptomics"" as a last-named author on ""Spatiotemporal transcriptomic atlas of mouse organogenesis using DNA nanoball-patterned arrays"" (Cell, 2022; 1690 OpenAlex citations). Evidence filters are concrete source/topic labels: Cell, OpenAlex topic: Single-cell and spatial transcriptomics, cell atlas.",,,,
2026-06-19T00:00:00+00:00,openalex_spatial_single_cell_demo_20260619,OpenAlex topic T11289: Single-cell and spatial transcriptomics,https://openalex.org/A5079618096,https://openalex.org/A5079618096; https://openalex.org/W3126902084; https://doi.org/10.1016/j.cell.2021.01.010,OpenAlex author profile: Jiafu Ji; OpenAlex work: A pan-cancer single-cell transcriptional atlas of tumor infiltrating myeloid cells; DOI landing page: A pan-cancer single-cell transcriptional atlas of tumor infiltrating myeloid cells,Jiafu Ji,,Peking University,,China,"OpenAlex links this researcher to ""Single-cell and spatial transcriptomics"". Demo candidate selected as last-named author on ""A pan-cancer single-cell transcriptional atlas of tumor infiltrating myeloid cells"" (Cell, 2021; 1563 OpenAlex citations).",single-cell biology; cell atlas; biomedical atlas,,https://orcid.org/0000-0001-6878-5543,https://scholar.google.com/scholar?q=%22Jiafu+Ji%22+%22Peking+University%22+single+cell+spatial+transcriptomics,https://openalex.org/A5079618096,,72,30680,"OpenAlex author profile retrieved 2026-06-19; Scholar URL is a search link, not a verified author profile.",,,,,include,openalex_topic_last_author,"Selected from OpenAlex topic ""Single-cell and spatial transcriptomics"" as a last-named author on ""A pan-cancer single-cell transcriptional atlas of tumor infiltrating myeloid cells"" (Cell, 2021; 1563 OpenAlex citations). Evidence filters are concrete source/topic labels: Cell, OpenAlex topic: Single-cell and spatial transcriptomics, cell atlas.","Real demo row generated from OpenAlex on 2026-06-19. Institution is the source-stated authorship institution for the selected work, not a verified current role. Homepage, age, honors, and hiring status were not manually verified; use the source links and Scholar search before outreach.",Cell; OpenAlex topic: Single-cell and spatial transcriptomics; cell atlas,"Selected from OpenAlex topic ""Single-cell and spatial transcriptomics"" as a last-named author on ""A pan-cancer single-cell transcriptional atlas of tumor infiltrating myeloid cells"" (Cell, 2021; 1563 OpenAlex citations). Evidence filters are concrete source/topic labels: Cell, OpenAlex topic: Single-cell and spatial transcriptomics, cell atlas.",,,,
2026-06-19T00:00:00+00:00,openalex_spatial_single_cell_demo_20260619,OpenAlex topic T11289: Single-cell and spatial transcriptomics,https://openalex.org/A5066136174,https://openalex.org/A5066136174; https://openalex.org/W3131634425; https://doi.org/10.1038/s41588-021-00790-6,OpenAlex author profile: William J. Greenleaf; OpenAlex work: ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis; DOI landing page: ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis,William J. Greenleaf,,Chan Zuckerberg Initiative (United States),,United States,"OpenAlex links this researcher to ""Single-cell and spatial transcriptomics"". Demo candidate selected as last-named author on ""ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis"" (Nature Genetics, 2021; 1453 OpenAlex citations).",single-cell biology; single-cell multiomics; computational biology; genomics; spatial transcriptomics,,https://orcid.org/0000-0003-1409-3095,https://scholar.google.com/scholar?q=%22William+J.+Greenleaf%22+%22Chan+Zuckerberg+Initiative+%28United+States%29%22+single+cell+spatial+transcriptomics,https://openalex.org/A5066136174,,88,49472,"OpenAlex author profile retrieved 2026-06-19; Scholar URL is a search link, not a verified author profile.",,,,,include,openalex_topic_last_author,"Selected from OpenAlex topic ""Single-cell and spatial transcriptomics"" as a last-named author on ""ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis"" (Nature Genetics, 2021; 1453 OpenAlex citations). Evidence filters are concrete source/topic labels: Nature Genetics, OpenAlex topic: Single-cell and spatial transcriptomics, single-cell multiomics, single-cell ATAC sequencing.","Real demo row generated from OpenAlex on 2026-06-19. Institution is the source-stated authorship institution for the selected work, not a verified current role. Homepage, age, honors, and hiring status were not manually verified; use the source links and Scholar search before outreach.",Nature Genetics; OpenAlex topic: Single-cell and spatial transcriptomics; single-cell multiomics; single-cell ATAC sequencing,"Selected from OpenAlex topic ""Single-cell and spatial transcriptomics"" as a last-named author on ""ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis"" (Nature Genetics, 2021; 1453 OpenAlex citations). Evidence filters are concrete source/topic labels: Nature Genetics, OpenAlex topic: Single-cell and spatial transcriptomics, single-cell multiomics, single-cell ATAC sequencing.",,,,
2026-06-19T00:00:00+00:00,openalex_spatial_single_cell_demo_20260619,OpenAlex topic T11289: Single-cell and spatial transcriptomics,https://openalex.org/A5083128670,https://openalex.org/A5083128670; https://openalex.org/W4225598893; https://doi.org/10.1038/s41592-021-01336-8,OpenAlex author profile: Fabian J. Theis; OpenAlex work: Benchmarking atlas-level data integration in single-cell genomics; DOI landing page: Benchmarking atlas-level data integration in single-cell genomics,Fabian J. Theis,,Helmholtz Zentrum München,,Germany,"OpenAlex links this researcher to ""Single-cell and spatial transcriptomics"". Demo candidate selected as last-named author on ""Benchmarking atlas-level data integration in single-cell genomics"" (Nature Methods, 2021; 1405 OpenAlex citations).",single-cell biology; cell atlas; genomics; spatial transcriptomics; computational biology,,https://orcid.org/0000-0002-2419-1943,https://scholar.google.com/scholar?q=%22Fabian+J.+Theis%22+%22Helmholtz+Zentrum+M%C3%BCnchen%22+single+cell+spatial+transcriptomics,https://openalex.org/A5083128670,,127,84718,"OpenAlex author profile retrieved 2026-06-19; Scholar URL is a search link, not a verified author profile.",,,,,include,openalex_topic_last_author,"Selected from OpenAlex topic ""Single-cell and spatial transcriptomics"" as a last-named author on ""Benchmarking atlas-level data integration in single-cell genomics"" (Nature Methods, 2021; 1405 OpenAlex citations). Evidence filters are concrete source/topic labels: Nature Methods, OpenAlex topic: Single-cell and spatial transcriptomics.","Real demo row generated from OpenAlex on 2026-06-19. Institution is the source-stated authorship institution for the selected work, not a verified current role. Homepage, age, honors, and hiring status were not manually verified; use the source links and Scholar search before outreach.",Nature Methods; OpenAlex topic: Single-cell and spatial transcriptomics,"Selected from OpenAlex topic ""Single-cell and spatial transcriptomics"" as a last-named author on ""Benchmarking atlas-level data integration in single-cell genomics"" (Nature Methods, 2021; 1405 OpenAlex citations). Evidence filters are concrete source/topic labels: Nature Methods, OpenAlex topic: Single-cell and spatial transcriptomics.",,,,
2026-06-19T00:00:00+00:00,openalex_spatial_single_cell_demo_20260619,OpenAlex topic T11289: Single-cell and spatial transcriptomics,https://openalex.org/A5054612687,https://openalex.org/A5054612687; https://openalex.org/W3129476455; https://doi.org/10.1038/s41587-021-00830-w,OpenAlex author profile: Rafael A. Irizarry; OpenAlex work: Robust decomposition of cell type mixtures in spatial transcriptomics; DOI landing page: Robust decomposition of cell type mixtures in spatial transcriptomics,Rafael A. Irizarry,,Dana-Farber Cancer Institute,,United States,"OpenAlex links this researcher to ""Single-cell and spatial transcriptomics"". Demo candidate selected as last-named author on ""Robust decomposition of cell type mixtures in spatial transcriptomics"" (Nature Biotechnology, 2021; 1398 OpenAlex citations).",spatial transcriptomics; genomics; biomedical atlas; single-cell biology; single-cell multiomics,,https://orcid.org/0000-0002-3944-4309,https://scholar.google.com/scholar?q=%22Rafael+A.+Irizarry%22+%22Dana-Farber+Cancer+Institute%22+single+cell+spatial+transcriptomics,https://openalex.org/A5054612687,,100,112315,"OpenAlex author profile retrieved 2026-06-19; Scholar URL is a search link, not a verified author profile.",,,,,include,openalex_topic_last_author,"Selected from OpenAlex topic ""Single-cell and spatial transcriptomics"" as a last-named author on ""Robust decomposition of cell type mixtures in spatial transcriptomics"" (Nature Biotechnology, 2021; 1398 OpenAlex citations). Evidence filters are concrete source/topic labels: Nature Biotechnology, OpenAlex topic: Single-cell and spatial transcriptomics, spatial transcriptomics.","Real demo row generated from OpenAlex on 2026-06-19. Institution is the source-stated authorship institution for the selected work, not a verified current role. Homepage, age, honors, and hiring status were not manually verified; use the source links and Scholar search before outreach.",Nature Biotechnology; OpenAlex topic: Single-cell and spatial transcriptomics; spatial transcriptomics,"Selected from OpenAlex topic ""Single-cell and spatial transcriptomics"" as a last-named author on ""Robust decomposition of cell type mixtures in spatial transcriptomics"" (Nature Biotechnology, 2021; 1398 OpenAlex citations). Evidence filters are concrete source/topic labels: Nature Biotechnology, OpenAlex topic: Single-cell and spatial transcriptomics, spatial transcriptomics.",,,,
