retrieved_at,source_batch,source_name,source_url,source_type,record_type,name,role_title,institution,department_or_group,country,summary_text,keyword_hits,homepage_url,orcid_url,scholar_url,metric_h_index,metric_source,citation_count,honors,raw_text,extraction_method,notes,evidence_items,evidence_summary,birth_year,age,age_as_of,age_evidence
2026-06-19T00:00:00+00:00,openalex_spatial_single_cell_demo_20260619,Cell (2021),https://openalex.org/W3164692211,publication_source,person,Rahul Satija,,New York Genome Center,,United States,"OpenAlex links this researcher to ""Single-cell and spatial transcriptomics"". Demo candidate selected as last-named author on ""Integrated analysis of multimodal single-cell data"" (Cell, 2021; 15986 OpenAlex citations).",single-cell biology; computational biology; spatial transcriptomics; genomics,,https://orcid.org/0000-0002-1479-664X,https://scholar.google.com/scholar?q=%22Rahul+Satija%22+%22New+York+Genome+Center%22+single+cell+spatial+transcriptomics,45,"OpenAlex author profile retrieved 2026-06-19; Scholar URL is a search link, not a verified author profile.",70394,,Integrated analysis of multimodal single-cell data | Cell | 2021 | OpenAlex citations: 15986 | Work URL: https://openalex.org/W3164692211,OpenAlex API topic filter topics.id:T11289; from_publication_date >= 2021-01-01; type=article; sorted by cited_by_count; selected last named author with OpenAlex author id; title relevance filter applied.,"Real demo row generated from OpenAlex on 2026-06-19. Institution is the source-stated authorship institution for the selected work, not a verified current role. Homepage, age, honors, and hiring status were not manually verified; use the source links and Scholar search before outreach.",Cell; OpenAlex topic: Single-cell and spatial transcriptomics,"Selected from OpenAlex topic ""Single-cell and spatial transcriptomics"" as a last-named author on ""Integrated analysis of multimodal single-cell data"" (Cell, 2021; 15986 OpenAlex citations). Evidence filters are concrete source/topic labels: Cell, OpenAlex topic: Single-cell and spatial transcriptomics.",,,,
2026-06-19T00:00:00+00:00,openalex_spatial_single_cell_demo_20260619,Nature Biotechnology (2023),https://openalex.org/W4378212544,publication_source,person,Carlos Fernandez‐Granda,,Courant Institute of Mathematical Sciences,,United States,"OpenAlex links this researcher to ""Single-cell and spatial transcriptomics"". Demo candidate selected as last-named author on ""Dictionary learning for integrative, multimodal and scalable single-cell analysis"" (Nature Biotechnology, 2023; 4774 OpenAlex citations).",single-cell biology; computational biology,,https://orcid.org/0000-0001-7039-8606,https://scholar.google.com/scholar?q=%22Carlos+Fernandez%E2%80%90Granda%22+%22Courant+Institute+of+Mathematical+Sciences%22+single+cell+spatial+transcriptomics,20,"OpenAlex author profile retrieved 2026-06-19; Scholar URL is a search link, not a verified author profile.",7041,,"Dictionary learning for integrative, multimodal and scalable single-cell analysis | Nature Biotechnology | 2023 | OpenAlex citations: 4774 | Work URL: https://openalex.org/W4378212544",OpenAlex API topic filter topics.id:T11289; from_publication_date >= 2021-01-01; type=article; sorted by cited_by_count; selected last named author with OpenAlex author id; title relevance filter applied.,"Real demo row generated from OpenAlex on 2026-06-19. Institution is the source-stated authorship institution for the selected work, not a verified current role. Homepage, age, honors, and hiring status were not manually verified; use the source links and Scholar search before outreach.",Nature Biotechnology; OpenAlex topic: Single-cell and spatial transcriptomics,"Selected from OpenAlex topic ""Single-cell and spatial transcriptomics"" as a last-named author on ""Dictionary learning for integrative, multimodal and scalable single-cell analysis"" (Nature Biotechnology, 2023; 4774 OpenAlex citations). Evidence filters are concrete source/topic labels: Nature Biotechnology, OpenAlex topic: Single-cell and spatial transcriptomics.",,,,
2026-06-19T00:00:00+00:00,openalex_spatial_single_cell_demo_20260619,Nature Methods (2021),https://openalex.org/W3210860076,publication_source,person,Caleb A. Lareau,,Stanford University,,United States,"OpenAlex links this researcher to ""Single-cell and spatial transcriptomics"". Demo candidate selected as last-named author on ""Single-cell chromatin state analysis with Signac"" (Nature Methods, 2021; 1838 OpenAlex citations).",single-cell biology; single-cell multiomics; computational biology; genomics; biomedical atlas,,https://orcid.org/0000-0003-4179-4807,https://scholar.google.com/scholar?q=%22Caleb+A.+Lareau%22+%22Stanford+University%22+single+cell+spatial+transcriptomics,60,"OpenAlex author profile retrieved 2026-06-19; Scholar URL is a search link, not a verified author profile.",20366,,Single-cell chromatin state analysis with Signac | Nature Methods | 2021 | OpenAlex citations: 1838 | Work URL: https://openalex.org/W3210860076,OpenAlex API topic filter topics.id:T11289; from_publication_date >= 2021-01-01; type=article; sorted by cited_by_count; selected last named author with OpenAlex author id; title relevance filter applied.,"Real demo row generated from OpenAlex on 2026-06-19. Institution is the source-stated authorship institution for the selected work, not a verified current role. Homepage, age, honors, and hiring status were not manually verified; use the source links and Scholar search before outreach.",Nature Methods; OpenAlex topic: Single-cell and spatial transcriptomics; single-cell multiomics,"Selected from OpenAlex topic ""Single-cell and spatial transcriptomics"" as a last-named author on ""Single-cell chromatin state analysis with Signac"" (Nature Methods, 2021; 1838 OpenAlex citations). Evidence filters are concrete source/topic labels: Nature Methods, OpenAlex topic: Single-cell and spatial transcriptomics, single-cell multiomics.",,,,
2026-06-19T00:00:00+00:00,openalex_spatial_single_cell_demo_20260619,Science Advances (2021),https://openalex.org/W3184729641,publication_source,person,Cecilia Lindskog,,Uppsala University,,Sweden,"OpenAlex links this researcher to ""Single-cell and spatial transcriptomics"". Demo candidate selected as last-named author on ""A single–cell type transcriptomics map of human tissues"" (Science Advances, 2021; 1818 OpenAlex citations).",spatial transcriptomics; single-cell biology; biomedical atlas; genomics,,https://orcid.org/0000-0001-5611-1015,https://scholar.google.com/scholar?q=%22Cecilia+Lindskog%22+%22Uppsala+University%22+single+cell+spatial+transcriptomics,46,"OpenAlex author profile retrieved 2026-06-19; Scholar URL is a search link, not a verified author profile.",40627,,A single–cell type transcriptomics map of human tissues | Science Advances | 2021 | OpenAlex citations: 1818 | Work URL: https://openalex.org/W3184729641,OpenAlex API topic filter topics.id:T11289; from_publication_date >= 2021-01-01; type=article; sorted by cited_by_count; selected last named author with OpenAlex author id; title relevance filter applied.,"Real demo row generated from OpenAlex on 2026-06-19. Institution is the source-stated authorship institution for the selected work, not a verified current role. Homepage, age, honors, and hiring status were not manually verified; use the source links and Scholar search before outreach.",Science Advances; OpenAlex topic: Single-cell and spatial transcriptomics,"Selected from OpenAlex topic ""Single-cell and spatial transcriptomics"" as a last-named author on ""A single–cell type transcriptomics map of human tissues"" (Science Advances, 2021; 1818 OpenAlex citations). Evidence filters are concrete source/topic labels: Science Advances, OpenAlex topic: Single-cell and spatial transcriptomics.",,,,
2026-06-19T00:00:00+00:00,openalex_spatial_single_cell_demo_20260619,Nature Genetics (2021),https://openalex.org/W3198511950,publication_source,person,Alexander Swarbrick,,Garvan Institute of Medical Research,,Australia,"OpenAlex links this researcher to ""Single-cell and spatial transcriptomics"". Demo candidate selected as last-named author on ""A single-cell and spatially resolved atlas of human breast cancers"" (Nature Genetics, 2021; 1773 OpenAlex citations).",spatial transcriptomics; single-cell biology; cell atlas; biomedical atlas; genomics,,https://orcid.org/0000-0002-3051-5676,https://scholar.google.com/scholar?q=%22Alexander+Swarbrick%22+%22Garvan+Institute+of+Medical+Research%22+single+cell+spatial+transcriptomics,57,"OpenAlex author profile retrieved 2026-06-19; Scholar URL is a search link, not a verified author profile.",11820,,A single-cell and spatially resolved atlas of human breast cancers | Nature Genetics | 2021 | OpenAlex citations: 1773 | Work URL: https://openalex.org/W3198511950,OpenAlex API topic filter topics.id:T11289; from_publication_date >= 2021-01-01; type=article; sorted by cited_by_count; selected last named author with OpenAlex author id; title relevance filter applied.,"Real demo row generated from OpenAlex on 2026-06-19. Institution is the source-stated authorship institution for the selected work, not a verified current role. Homepage, age, honors, and hiring status were not manually verified; use the source links and Scholar search before outreach.",Nature Genetics; OpenAlex topic: Single-cell and spatial transcriptomics; spatial transcriptomics,"Selected from OpenAlex topic ""Single-cell and spatial transcriptomics"" as a last-named author on ""A single-cell and spatially resolved atlas of human breast cancers"" (Nature Genetics, 2021; 1773 OpenAlex citations). Evidence filters are concrete source/topic labels: Nature Genetics, OpenAlex topic: Single-cell and spatial transcriptomics, spatial transcriptomics.",,,,
2026-06-19T00:00:00+00:00,openalex_spatial_single_cell_demo_20260619,Cell (2022),https://openalex.org/W4229033508,publication_source,person,Jian Wang,,BGI Group (China),,China,"OpenAlex links this researcher to ""Single-cell and spatial transcriptomics"". Demo candidate selected as last-named author on ""Spatiotemporal transcriptomic atlas of mouse organogenesis using DNA nanoball-patterned arrays"" (Cell, 2022; 1690 OpenAlex citations).",cell atlas; genomics; spatial transcriptomics; single-cell biology,,https://orcid.org/0000-0003-4949-4753,https://scholar.google.com/scholar?q=%22Jian+Wang%22+%22BGI+Group+%28China%29%22+single+cell+spatial+transcriptomics,77,"OpenAlex author profile retrieved 2026-06-19; Scholar URL is a search link, not a verified author profile.",31930,,Spatiotemporal transcriptomic atlas of mouse organogenesis using DNA nanoball-patterned arrays | Cell | 2022 | OpenAlex citations: 1690 | Work URL: https://openalex.org/W4229033508,OpenAlex API topic filter topics.id:T11289; from_publication_date >= 2021-01-01; type=article; sorted by cited_by_count; selected last named author with OpenAlex author id; title relevance filter applied.,"Real demo row generated from OpenAlex on 2026-06-19. Institution is the source-stated authorship institution for the selected work, not a verified current role. Homepage, age, honors, and hiring status were not manually verified; use the source links and Scholar search before outreach.",Cell; OpenAlex topic: Single-cell and spatial transcriptomics; cell atlas,"Selected from OpenAlex topic ""Single-cell and spatial transcriptomics"" as a last-named author on ""Spatiotemporal transcriptomic atlas of mouse organogenesis using DNA nanoball-patterned arrays"" (Cell, 2022; 1690 OpenAlex citations). Evidence filters are concrete source/topic labels: Cell, OpenAlex topic: Single-cell and spatial transcriptomics, cell atlas.",,,,
2026-06-19T00:00:00+00:00,openalex_spatial_single_cell_demo_20260619,Cell (2021),https://openalex.org/W3126902084,publication_source,person,Jiafu Ji,,Peking University,,China,"OpenAlex links this researcher to ""Single-cell and spatial transcriptomics"". Demo candidate selected as last-named author on ""A pan-cancer single-cell transcriptional atlas of tumor infiltrating myeloid cells"" (Cell, 2021; 1563 OpenAlex citations).",single-cell biology; cell atlas; biomedical atlas,,https://orcid.org/0000-0001-6878-5543,https://scholar.google.com/scholar?q=%22Jiafu+Ji%22+%22Peking+University%22+single+cell+spatial+transcriptomics,72,"OpenAlex author profile retrieved 2026-06-19; Scholar URL is a search link, not a verified author profile.",30680,,A pan-cancer single-cell transcriptional atlas of tumor infiltrating myeloid cells | Cell | 2021 | OpenAlex citations: 1563 | Work URL: https://openalex.org/W3126902084,OpenAlex API topic filter topics.id:T11289; from_publication_date >= 2021-01-01; type=article; sorted by cited_by_count; selected last named author with OpenAlex author id; title relevance filter applied.,"Real demo row generated from OpenAlex on 2026-06-19. Institution is the source-stated authorship institution for the selected work, not a verified current role. Homepage, age, honors, and hiring status were not manually verified; use the source links and Scholar search before outreach.",Cell; OpenAlex topic: Single-cell and spatial transcriptomics; cell atlas,"Selected from OpenAlex topic ""Single-cell and spatial transcriptomics"" as a last-named author on ""A pan-cancer single-cell transcriptional atlas of tumor infiltrating myeloid cells"" (Cell, 2021; 1563 OpenAlex citations). Evidence filters are concrete source/topic labels: Cell, OpenAlex topic: Single-cell and spatial transcriptomics, cell atlas.",,,,
2026-06-19T00:00:00+00:00,openalex_spatial_single_cell_demo_20260619,Nature Genetics (2021),https://openalex.org/W3131634425,publication_source,person,William J. Greenleaf,,Chan Zuckerberg Initiative (United States),,United States,"OpenAlex links this researcher to ""Single-cell and spatial transcriptomics"". Demo candidate selected as last-named author on ""ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis"" (Nature Genetics, 2021; 1453 OpenAlex citations).",single-cell biology; single-cell multiomics; computational biology; genomics; spatial transcriptomics,,https://orcid.org/0000-0003-1409-3095,https://scholar.google.com/scholar?q=%22William+J.+Greenleaf%22+%22Chan+Zuckerberg+Initiative+%28United+States%29%22+single+cell+spatial+transcriptomics,88,"OpenAlex author profile retrieved 2026-06-19; Scholar URL is a search link, not a verified author profile.",49472,,ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis | Nature Genetics | 2021 | OpenAlex citations: 1453 | Work URL: https://openalex.org/W3131634425,OpenAlex API topic filter topics.id:T11289; from_publication_date >= 2021-01-01; type=article; sorted by cited_by_count; selected last named author with OpenAlex author id; title relevance filter applied.,"Real demo row generated from OpenAlex on 2026-06-19. Institution is the source-stated authorship institution for the selected work, not a verified current role. Homepage, age, honors, and hiring status were not manually verified; use the source links and Scholar search before outreach.",Nature Genetics; OpenAlex topic: Single-cell and spatial transcriptomics; single-cell multiomics; single-cell ATAC sequencing,"Selected from OpenAlex topic ""Single-cell and spatial transcriptomics"" as a last-named author on ""ArchR is a scalable software package for integrative single-cell chromatin accessibility analysis"" (Nature Genetics, 2021; 1453 OpenAlex citations). Evidence filters are concrete source/topic labels: Nature Genetics, OpenAlex topic: Single-cell and spatial transcriptomics, single-cell multiomics, single-cell ATAC sequencing.",,,,
2026-06-19T00:00:00+00:00,openalex_spatial_single_cell_demo_20260619,Nature Methods (2021),https://openalex.org/W4225598893,publication_source,person,Fabian J. Theis,,Helmholtz Zentrum München,,Germany,"OpenAlex links this researcher to ""Single-cell and spatial transcriptomics"". Demo candidate selected as last-named author on ""Benchmarking atlas-level data integration in single-cell genomics"" (Nature Methods, 2021; 1405 OpenAlex citations).",single-cell biology; cell atlas; genomics; spatial transcriptomics; computational biology,,https://orcid.org/0000-0002-2419-1943,https://scholar.google.com/scholar?q=%22Fabian+J.+Theis%22+%22Helmholtz+Zentrum+M%C3%BCnchen%22+single+cell+spatial+transcriptomics,127,"OpenAlex author profile retrieved 2026-06-19; Scholar URL is a search link, not a verified author profile.",84718,,Benchmarking atlas-level data integration in single-cell genomics | Nature Methods | 2021 | OpenAlex citations: 1405 | Work URL: https://openalex.org/W4225598893,OpenAlex API topic filter topics.id:T11289; from_publication_date >= 2021-01-01; type=article; sorted by cited_by_count; selected last named author with OpenAlex author id; title relevance filter applied.,"Real demo row generated from OpenAlex on 2026-06-19. Institution is the source-stated authorship institution for the selected work, not a verified current role. Homepage, age, honors, and hiring status were not manually verified; use the source links and Scholar search before outreach.",Nature Methods; OpenAlex topic: Single-cell and spatial transcriptomics,"Selected from OpenAlex topic ""Single-cell and spatial transcriptomics"" as a last-named author on ""Benchmarking atlas-level data integration in single-cell genomics"" (Nature Methods, 2021; 1405 OpenAlex citations). Evidence filters are concrete source/topic labels: Nature Methods, OpenAlex topic: Single-cell and spatial transcriptomics.",,,,
2026-06-19T00:00:00+00:00,openalex_spatial_single_cell_demo_20260619,Nature Biotechnology (2021),https://openalex.org/W3129476455,publication_source,person,Rafael A. Irizarry,,Dana-Farber Cancer Institute,,United States,"OpenAlex links this researcher to ""Single-cell and spatial transcriptomics"". Demo candidate selected as last-named author on ""Robust decomposition of cell type mixtures in spatial transcriptomics"" (Nature Biotechnology, 2021; 1398 OpenAlex citations).",spatial transcriptomics; genomics; biomedical atlas; single-cell biology; single-cell multiomics,,https://orcid.org/0000-0002-3944-4309,https://scholar.google.com/scholar?q=%22Rafael+A.+Irizarry%22+%22Dana-Farber+Cancer+Institute%22+single+cell+spatial+transcriptomics,100,"OpenAlex author profile retrieved 2026-06-19; Scholar URL is a search link, not a verified author profile.",112315,,Robust decomposition of cell type mixtures in spatial transcriptomics | Nature Biotechnology | 2021 | OpenAlex citations: 1398 | Work URL: https://openalex.org/W3129476455,OpenAlex API topic filter topics.id:T11289; from_publication_date >= 2021-01-01; type=article; sorted by cited_by_count; selected last named author with OpenAlex author id; title relevance filter applied.,"Real demo row generated from OpenAlex on 2026-06-19. Institution is the source-stated authorship institution for the selected work, not a verified current role. Homepage, age, honors, and hiring status were not manually verified; use the source links and Scholar search before outreach.",Nature Biotechnology; OpenAlex topic: Single-cell and spatial transcriptomics; spatial transcriptomics,"Selected from OpenAlex topic ""Single-cell and spatial transcriptomics"" as a last-named author on ""Robust decomposition of cell type mixtures in spatial transcriptomics"" (Nature Biotechnology, 2021; 1398 OpenAlex citations). Evidence filters are concrete source/topic labels: Nature Biotechnology, OpenAlex topic: Single-cell and spatial transcriptomics, spatial transcriptomics.",,,,
2026-06-19T00:00:00+00:00,openalex_spatial_single_cell_demo_20260619,Science (2021),https://openalex.org/W4200468913,publication_source,person,Xueda Hu,,Peking University,,China,"OpenAlex links this researcher to ""Single-cell and spatial transcriptomics"". Demo candidate selected as last-named author on ""Pan-cancer single-cell landscape of tumor-infiltrating T cells"" (Science, 2021; 1385 OpenAlex citations).",single-cell biology; biomedical atlas; spatial transcriptomics; genomics,,https://orcid.org/0000-0002-8705-1518,https://scholar.google.com/scholar?q=%22Xueda+Hu%22+%22Peking+University%22+single+cell+spatial+transcriptomics,29,"OpenAlex author profile retrieved 2026-06-19; Scholar URL is a search link, not a verified author profile.",18421,,Pan-cancer single-cell landscape of tumor-infiltrating T cells | Science | 2021 | OpenAlex citations: 1385 | Work URL: https://openalex.org/W4200468913,OpenAlex API topic filter topics.id:T11289; from_publication_date >= 2021-01-01; type=article; sorted by cited_by_count; selected last named author with OpenAlex author id; title relevance filter applied.,"Real demo row generated from OpenAlex on 2026-06-19. Institution is the source-stated authorship institution for the selected work, not a verified current role. Homepage, age, honors, and hiring status were not manually verified; use the source links and Scholar search before outreach.",Science; OpenAlex topic: Single-cell and spatial transcriptomics,"Selected from OpenAlex topic ""Single-cell and spatial transcriptomics"" as a last-named author on ""Pan-cancer single-cell landscape of tumor-infiltrating T cells"" (Science, 2021; 1385 OpenAlex citations). Evidence filters are concrete source/topic labels: Science, OpenAlex topic: Single-cell and spatial transcriptomics.",,,,
